First Reaction,Second Reaction,Second Reaction Author
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791164"",""R-HSA-1791164"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791102"",""R-HSA-1791102"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791167"",""R-HSA-1791167"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791096"",""R-HSA-1791096"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791172"",""R-HSA-1791172"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791108"",""R-HSA-1791108"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791169"",""R-HSA-1791169"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791116"",""R-HSA-1791116"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791054"",""R-HSA-1791054"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791112"",""R-HSA-1791112"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791177"",""R-HSA-1791177"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791114"",""R-HSA-1791114"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791060"",""R-HSA-1791060"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791124"",""R-HSA-1791124"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791184"",""R-HSA-1791184"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791057"",""R-HSA-1791057"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791186"",""R-HSA-1791186"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791122"",""R-HSA-1791122"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791058"",""R-HSA-1791058"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791123"",""R-HSA-1791123"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791133"",""R-HSA-1791133"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791069"",""R-HSA-1791069"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791134"",""R-HSA-1791134"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791071"",""R-HSA-1791071"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8953356"",""R-HSA-8953356"")","Jassal, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791128"",""R-HSA-1791128"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791064"",""R-HSA-1791064"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791066"",""R-HSA-1791066"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791130"",""R-HSA-1791130"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791131"",""R-HSA-1791131"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791180"",""R-HSA-1791180"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-381487"",""R-HSA-381487"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1799326"",""R-HSA-1799326"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1799332"",""R-HSA-1799332"")","Gopinathrao, G"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1799326"",""R-HSA-1799326"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1799330"",""R-HSA-1799330"")","Gopinathrao, G"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1964505"",""R-HSA-1964505"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-977228"",""R-HSA-977228"")","Jassal, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1964505"",""R-HSA-1964505"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-981497"",""R-HSA-981497"")","Jassal, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1964505"",""R-HSA-1964505"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-981814"",""R-HSA-981814"")","Jassal, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2028294"",""R-HSA-2028294"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2022368"",""R-HSA-2022368"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2028294"",""R-HSA-2028294"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2022398"",""R-HSA-2022398"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-203973"",""R-HSA-203973"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5694417"",""R-HSA-5694417"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-204617"",""R-HSA-204617"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-204647"",""R-HSA-204647"")","Johansson, HE"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-204647"",""R-HSA-204647"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-204617"",""R-HSA-204617"")","Johansson, HE"
