First_Reaction,Second_Reaction,First Reaction,Second Reaction,Second Reaction Author
R-HSA-1368069,R-HSA-400342,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1368069"",""NR1D1 (REV-ERBA) binds heme, the ARNTL gene, and recruits corepressors."")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-400342"",""Expression of BMAL1 (ARNTL)."")","May, B"
R-HSA-400267,R-HSA-400219,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-400267"",""BTRC:CUL1:SKP1 (SCF-beta-TrCP1) ubiquitinylates PER proteins"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-400219"",""Beta-TrCP1 binds phosphorylated PER proteins"")","May, B"
R-HSA-400282,R-HSA-400272,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-400282"",""CRY proteins are ubiquitinylated"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-400272"",""FBXL3 binds phosphorylated CRY proteins"")","May, B"
R-HSA-5663245,R-HSA-1368065,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5663245"",""NR1D1 (REV-ERBA) binds heme, the NPAS2 gene, and recruits corepressors"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1368065"",""Expression of NPAS2"")","May, B"
R-HSA-5663258,R-HSA-1368140,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5663258"",""NR1D1 (REV-ERBA) binds heme, the PPARGC1A gene, and recruits corepressors"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1368140"",""Expression of PPARGC1A (PGC-1alpha)"")","May, B"
R-HSA-5663265,R-HSA-549475,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5663265"",""NR1D1 (REV-ERBA) binds heme, the NR1D1 gene, and recruits corepressors"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-549475"",""Expression of NR1D1 (REV-ERBA)"")","May, B"
R-HSA-5663271,R-HSA-1368119,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5663271"",""NR1D1 (REV-ERBA) binds heme, the CLOCK gene, and recruits corepressors"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1368119"",""Expression of CLOCK"")","May, B"
