First Reaction,Second Reaction,Second Reaction Author
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174157"",""R-HSA-174157"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174144"",""R-HSA-174144"")","Lorca, T"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174157"",""R-HSA-174157"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174121"",""R-HSA-174121"")","Lorca, T"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174157"",""R-HSA-174157"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174227"",""R-HSA-174227"")","Lorca, T"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174157"",""R-HSA-174157"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174120"",""R-HSA-174120"")","Lorca, T"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174202"",""R-HSA-174202"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174144"",""R-HSA-174144"")","Lorca, T"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174202"",""R-HSA-174202"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174121"",""R-HSA-174121"")","Lorca, T"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174202"",""R-HSA-174202"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174227"",""R-HSA-174227"")","Lorca, T"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174202"",""R-HSA-174202"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174120"",""R-HSA-174120"")","Lorca, T"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174203"",""R-HSA-174203"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174209"",""R-HSA-174209"")","Lorca, T"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174203"",""R-HSA-174203"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174159"",""R-HSA-174159"")","Lorca, T"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174224"",""R-HSA-174224"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141423"",""R-HSA-141423"")","Yen, TJ"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174224"",""R-HSA-174224"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141437"",""R-HSA-141437"")","Yen, TJ"
