First_Reaction,Second_Reaction,First Reaction,Second Reaction,Second Reaction Author
R-HSA-189242,R-HSA-8932955,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-189242"",""SLC2A2 tetramer transports Fru, Gal, Glc from cytosol to extracellular region"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8932955"",""SLC5A1 cotransports Glc,Gal with Na+ from extracellular region to cytosol"")","Jassal, B"
R-HSA-189242,R-HSA-189222,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-189242"",""SLC2A2 tetramer transports Fru, Gal, Glc from cytosol to extracellular region"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-189222"",""SLC2A5 transports fructose from extracellular region to cytosol"")","D'Eustachio, P"
