First Reaction,Second Reaction,Second Reaction Author
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72180"",""R-HSA-72180"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77591"",""R-HSA-77591"")","Wahle, E"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72180"",""R-HSA-72180"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77590"",""R-HSA-77590"")","Wahle, E"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72185"",""R-HSA-72185"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72185"",""R-HSA-72185"")","Wahle, E"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72185"",""R-HSA-72185"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72231"",""R-HSA-72231"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72185"",""R-HSA-72185"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77591"",""R-HSA-77591"")","Wahle, E"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72185"",""R-HSA-72185"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77589"",""R-HSA-77589"")","Wahle, E"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75083"",""R-HSA-75083"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75080"",""R-HSA-75080"")","Joshi-Tope, G"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75096"",""R-HSA-75096"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72124"",""R-HSA-72124"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75096"",""R-HSA-75096"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72107"",""R-HSA-72107"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75096"",""R-HSA-75096"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75080"",""R-HSA-75080"")","Joshi-Tope, G"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75096"",""R-HSA-75096"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8849157"",""R-HSA-8849157"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75096"",""R-HSA-75096"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72160"",""R-HSA-72160"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75098"",""R-HSA-75098"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6783483"",""R-HSA-6783483"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75098"",""R-HSA-75098"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158481"",""R-HSA-158481"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75098"",""R-HSA-75098"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158484"",""R-HSA-158484"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75098"",""R-HSA-75098"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111439"",""R-HSA-111439"")","Marzluff, WF"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75098"",""R-HSA-75098"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77587"",""R-HSA-77587"")","Marzluff, WF"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75098"",""R-HSA-75098"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-159046"",""R-HSA-159046"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75098"",""R-HSA-75098"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-159050"",""R-HSA-159050"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75098"",""R-HSA-75098"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77594"",""R-HSA-77594"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75098"",""R-HSA-75098"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158441"",""R-HSA-158441"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75098"",""R-HSA-75098"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158447"",""R-HSA-158447"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75098"",""R-HSA-75098"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75097"",""R-HSA-75097"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75098"",""R-HSA-75098"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75096"",""R-HSA-75096"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75098"",""R-HSA-75098"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75098"",""R-HSA-75098"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75098"",""R-HSA-75098"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-191825"",""R-HSA-191825"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75098"",""R-HSA-75098"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-191830"",""R-HSA-191830"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77090"",""R-HSA-77090"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77073"",""R-HSA-77073"")","Buratowski, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77586"",""R-HSA-77586"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77585"",""R-HSA-77585"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77586"",""R-HSA-77586"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111438"",""R-HSA-111438"")","Marzluff, WF"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77587"",""R-HSA-77587"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77094"",""R-HSA-77094"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77592"",""R-HSA-77592"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72231"",""R-HSA-72231"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77592"",""R-HSA-77592"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77591"",""R-HSA-77591"")","Wahle, E"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77592"",""R-HSA-77592"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77590"",""R-HSA-77590"")","Wahle, E"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77593"",""R-HSA-77593"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72231"",""R-HSA-72231"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77593"",""R-HSA-77593"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77591"",""R-HSA-77591"")","Wahle, E"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77593"",""R-HSA-77593"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72185"",""R-HSA-72185"")","Wahle, E"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77593"",""R-HSA-77593"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77590"",""R-HSA-77590"")","Wahle, E"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77594"",""R-HSA-77594"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72231"",""R-HSA-72231"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77594"",""R-HSA-77594"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77589"",""R-HSA-77589"")","Wahle, E"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77594"",""R-HSA-77594"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77095"",""R-HSA-77095"")","Buratowski, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-927830"",""R-HSA-927830"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-927830"",""R-HSA-927830"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-927830"",""R-HSA-927830"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-927813"",""R-HSA-927813"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-927830"",""R-HSA-927830"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-450551"",""R-HSA-450551"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-927830"",""R-HSA-927830"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-927789"",""R-HSA-927789"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-927830"",""R-HSA-927830"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-927832"",""R-HSA-927832"")","May, B"
