First_Reaction_Name,First_Reaction_ID,Second_Reaction_Name,Second_Reaction_ID,Second_Reaction_Author,ReactionsInSameDiagram?,IsCyclic?,Approved/Rejected,Reasons_for_Rejection,Other_Comments
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68637"",""CDC6 protein is synthesized under the control of E2F transcription factors"")",68637,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69005"",""Cdc6 protein is phosphorylated by CDK"")",69005,,No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68826"",""Free CDT1 associates with CDC6:ORC:origin complexes"")",68826,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68849"",""Mcm2-7 associates with the Cdt1:CDC6:ORC:origin complex, forming the pre-replicative complex (preRC)"")",68849,,Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68849"",""Mcm2-7 associates with the Cdt1:CDC6:ORC:origin complex, forming the pre-replicative complex (preRC)"")",68849,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68944"",""Orc1 is phosphorylated by cyclin A/CDK2"")",68944,,No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68913"",""The primase component of DNA polymerase:primase synthesizes a 6-10 nucleotide RNA primer at the origin"")",68913,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68960"",""DNA polymerase epsilon binds at the origin"")",68960,,No,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68940"",""Cdt1 is displaced from the pre-replicative complex."")",68940,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68826"",""Free CDT1 associates with CDC6:ORC:origin complexes"")",68826,,Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69068"",""RFC dissociates after sliding clamp formation"")",69068,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69053"",""RFC binding displaces Pol Alpha"")",69053,,Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69144"",""Removal of RNA primer and dissociation of RPA and Dna2"")",69144,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69140"",""RPA binds to the Flap"")",69140,,Yes,False,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69144"",""Removal of RNA primer and dissociation of RPA and Dna2"")",69144,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69142"",""Recruitment of Dna2 endonuclease"")",69142,,Yes,True,,,
