First_Reaction,Second_Reaction,Second_Reaction_Author,SBGN_Status,Cyclic?,Expected_Release,Review_Status,Approved/Rejected,Reasons_for_Rejection,Other_Comments
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-192475"",""Digestion of triacylglycerols by extracellular pancreatic lipase-related protein 2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-192434"",""Digestion of diacylglycerols by extracellular PTL:colipase"")","D'Eustachio, P",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8979996"",""LIPs hydrolyze TG to DAG and LCFA"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-192434"",""Digestion of diacylglycerols by extracellular PTL:colipase"")","D'Eustachio, P",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-189242"",""SLC2A2 tetramer transports Fru, Gal, Glc from cytosol to extracellular region"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8932955"",""SLC5A1 cotransports Glc,Gal with Na+ from extracellular region to cytosol"")","Jassal, B",Same,True,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-189242"",""SLC2A2 tetramer transports Fru, Gal, Glc from cytosol to extracellular region"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-189222"",""SLC2A5 transports fructose from extracellular region to cytosol"")","D'Eustachio, P",Same,False,,,,,
