Pathway,First Reaction,Second Reaction,Second Reaction Author
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6798743"",""R-HSA-6798743"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-375395"",""R-HSA-375395"")","Jassal, B"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6799350"",""R-HSA-6799350"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5669097"",""R-HSA-5669097"")","Jassal, B"
Immune System,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8937656"",""R-HSA-8937656"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9681763"",""R-HSA-9681763"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475026"",""R-HSA-1475026"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8876889"",""R-HSA-8876889"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475026"",""R-HSA-1475026"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73577"",""R-HSA-73577"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855193"",""R-HSA-1855193"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5696021"",""R-HSA-5696021"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855162"",""R-HSA-1855162"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5696021"",""R-HSA-5696021"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855194"",""R-HSA-1855194"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5696021"",""R-HSA-5696021"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855227"",""R-HSA-1855227"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5696021"",""R-HSA-5696021"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855158"",""R-HSA-1855158"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5696021"",""R-HSA-5696021"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855223"",""R-HSA-1855223"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5696021"",""R-HSA-5696021"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855216"",""R-HSA-1855216"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5696021"",""R-HSA-5696021"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855182"",""R-HSA-1855182"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5696021"",""R-HSA-5696021"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855179"",""R-HSA-1855179"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5696021"",""R-HSA-5696021"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855154"",""R-HSA-1855154"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5678327"",""R-HSA-5678327"")","Jassal, B"
Metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855211"",""R-HSA-1855211"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5678327"",""R-HSA-5678327"")","Jassal, B"
