Pathway,First Reaction,Second Reaction,Second Reaction Author
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9685519"",""R-HSA-9685519"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9684277"",""R-HSA-9684277"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9685519"",""R-HSA-9685519"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9684301"",""R-HSA-9684301"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9686709"",""R-HSA-9686709"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9683606"",""R-HSA-9683606"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9686709"",""R-HSA-9686709"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9683765"",""R-HSA-9683765"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9686709"",""R-HSA-9686709"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9683630"",""R-HSA-9683630"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694334"",""R-HSA-9694334"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694377"",""R-HSA-9694377"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694334"",""R-HSA-9694334"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694441"",""R-HSA-9694441"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694338"",""R-HSA-9694338"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694601"",""R-HSA-9694601"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694377"",""R-HSA-9694377"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694551"",""R-HSA-9694551"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694377"",""R-HSA-9694377"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694338"",""R-HSA-9694338"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694471"",""R-HSA-9694471"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694274"",""R-HSA-9694274"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694471"",""R-HSA-9694471"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694334"",""R-HSA-9694334"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694549"",""R-HSA-9694549"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694274"",""R-HSA-9694274"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694549"",""R-HSA-9694549"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694334"",""R-HSA-9694334"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694601"",""R-HSA-9694601"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694611"",""R-HSA-9694611"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694625"",""R-HSA-9694625"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694389"",""R-HSA-9694389"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694662"",""R-HSA-9694662"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694572"",""R-HSA-9694572"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694723"",""R-HSA-9694723"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694274"",""R-HSA-9694274"")","Stephan, R"
Disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694723"",""R-HSA-9694723"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9694334"",""R-HSA-9694334"")","Stephan, R"
