PathwayName,Event,RelationType,InputReaction
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-350869
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-209772
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-6783955
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-5652172
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-191352
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-975629
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-2855252
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-6786239
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-9640302
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-198824
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-193068
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-193072
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-193099
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-193981
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-193070
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-193064
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-469659
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-193143
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-804969
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-193060
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-193964
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-196060
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-9018874
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-8936442
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-211873
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-5602295
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-192065
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-211951
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-192178
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-192061
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-192051
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-194678
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-191299
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-191402
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-193845
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-191972
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-193709
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-192157
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-211923
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-209845
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-6807053
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-6807064
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-194632
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-194669
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-194689
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-194641
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-194698
