PathwayName,Event,RelationType,PrecedingEventCurated
Autophagy,R-HSA-9631065,Preceding Event Relation,R-HSA-9631068
Autophagy,R-HSA-9631068,Preceding Event Relation,R-HSA-9615721
Cell Cycle,R-HSA-141409,Preceding Event Relation,null
Cell Cycle,R-HSA-141431,Preceding Event Relation,R-HSA-141409
Cell Cycle,R-HSA-141422,Preceding Event Relation,R-HSA-141431
Cell Cycle,R-HSA-141439,Preceding Event Relation,R-HSA-141422
Cell Cycle,R-HSA-141423,Preceding Event Relation,R-HSA-141437
Cell Cycle,R-HSA-141437,Preceding Event Relation,R-HSA-141439
Cell Cycle,R-HSA-141429,Preceding Event Relation,R-HSA-141439
Cell Cycle,R-HSA-5683735,Preceding Event Relation,R-HSA-5693551
Cell Cycle,R-HSA-69891,Preceding Event Relation,R-HSA-5683735
Cell Cycle,R-HSA-6799332,Preceding Event Relation,R-HSA-6804762
Cell Cycle,R-HSA-6799332,Preceding Event Relation,R-HSA-5685011
Cell Cycle,R-HSA-176116,Preceding Event Relation,R-HSA-176264
Cell Cycle,R-HSA-176116,Preceding Event Relation,R-HSA-176298
Cell Cycle,R-HSA-5683792,Preceding Event Relation,R-HSA-5683774
Cell Cycle,R-HSA-5683774,Preceding Event Relation,R-HSA-69891
Cell Cycle,R-HSA-6799246,Preceding Event Relation,R-HSA-5684887
Cell Cycle,R-HSA-6799246,Preceding Event Relation,R-HSA-6799332
Cell Cycle,R-HSA-6799246,Preceding Event Relation,R-HSA-264435
Cell Cycle,R-HSA-75809,Preceding Event Relation,R-HSA-6798268
Cell Cycle,R-HSA-170070,Preceding Event Relation,R-HSA-170076
Cell Cycle,R-HSA-170070,Preceding Event Relation,R-HSA-75028
Cell Cycle,R-HSA-75028,Preceding Event Relation,null
Cell Cycle,R-HSA-75016,Preceding Event Relation,R-HSA-9029987
Cell Cycle,R-HSA-75016,Preceding Event Relation,R-HSA-5671749
Cell Cycle,R-HSA-9029987,Preceding Event Relation,R-HSA-75010
Cell Cycle,R-HSA-9029987,Preceding Event Relation,R-HSA-5671749
Cell Cycle,R-HSA-9029987,Preceding Event Relation,R-HSA-75809
Cell Cycle,R-HSA-8852354,Preceding Event Relation,R-HSA-8852351
Cell Cycle,R-HSA-8852337,Preceding Event Relation,R-HSA-8852331
Cell Cycle,R-HSA-8852337,Preceding Event Relation,R-HSA-6804879
Cell Cycle,R-HSA-170055,Preceding Event Relation,R-HSA-170057
Cell Cycle,R-HSA-8852351,Preceding Event Relation,R-HSA-8852337
Cell Cycle,R-HSA-75010,Preceding Event Relation,R-HSA-6798268
Cell Cycle,R-HSA-75010,Preceding Event Relation,R-HSA-176116
Cell Cycle,R-HSA-69604,Preceding Event Relation,R-HSA-176116
Cell Cycle,R-HSA-176101,Preceding Event Relation,R-HSA-176175
Cell Cycle,R-HSA-176250,Preceding Event Relation,R-HSA-176175
Cell Cycle,R-HSA-176298,Preceding Event Relation,R-HSA-176318
Cell Cycle,R-HSA-176298,Preceding Event Relation,R-HSA-176250
Cell Cycle,R-HSA-176264,Preceding Event Relation,R-HSA-176101
Cell Cycle,R-HSA-176318,Preceding Event Relation,null
Cell Cycle,R-HSA-176175,Preceding Event Relation,null
Cell Cycle,R-HSA-69600,Preceding Event Relation,R-HSA-69598
Cell Cycle,R-HSA-69608,Preceding Event Relation,R-HSA-69891
Cell Cycle,R-HSA-69598,Preceding Event Relation,null
Cell Cycle,R-HSA-5633460,Preceding Event Relation,R-HSA-6804762
Cell Cycle,R-HSA-5633460,Preceding Event Relation,R-HSA-6804741
Cell Cycle,R-HSA-6804741,Preceding Event Relation,R-HSA-6793666
Cell Cycle,R-HSA-6793685,Preceding Event Relation,R-HSA-6804879
Cell Cycle,R-HSA-6804724,Preceding Event Relation,R-HSA-349426
Cell Cycle,R-HSA-69685,Preceding Event Relation,R-HSA-5683792
Cell Cycle,R-HSA-69685,Preceding Event Relation,R-HSA-264435
Cell Cycle,R-HSA-69685,Preceding Event Relation,R-HSA-5693609
Cell Cycle,R-HSA-349444,Preceding Event Relation,R-HSA-5693540
Cell Cycle,R-HSA-264418,Preceding Event Relation,R-HSA-264435
Cell Cycle,R-HSA-264418,Preceding Event Relation,R-HSA-349444
