Reaction,Input,Output,Catalyst,Regulator,Regulation
R-HSA-1368069,R-ALL-1368125,R-HSA-5663269,null,null,null
R-HSA-1368069,R-HSA-442464,R-HSA-5663269,null,null,null
R-HSA-1368069,R-HSA-442501,R-HSA-5663269,null,null,null
R-HSA-1368133,R-HSA-5640202,R-HSA-400325,null,R-HSA-5669290,PositiveGeneExpressionRegulation
R-HSA-1368133,R-HSA-5640202,R-HSA-400325,null,R-HSA-1234135,PositiveGeneExpressionRegulation
R-HSA-400342,R-HSA-5640173,R-HSA-400353,null,R-HSA-427531,PositiveGeneExpressionRegulation
R-HSA-400342,R-HSA-5640173,R-HSA-400353,null,R-HSA-5663269,NegativeGeneExpressionRegulation
R-HSA-400342,R-HSA-5640173,R-HSA-400353,null,R-HSA-5663268,PositiveGeneExpressionRegulation
R-HSA-5663174,R-HSA-5641209,R-HSA-5663110,null,null,null
R-HSA-5663174,R-HSA-421315,R-HSA-5663110,null,null,null
R-HSA-421320,R-HSA-400360,R-HSA-421315,null,null,null
R-HSA-400267,R-HSA-113595,R-HSA-174237,null,null,null
R-HSA-400267,R-HSA-113595,R-HSA-517830,null,null,null
R-HSA-400267,R-HSA-400368,R-HSA-174237,null,null,null
R-HSA-400267,R-HSA-400368,R-HSA-517830,null,null,null
R-HSA-5663258,R-HSA-375499,R-HSA-5663272,null,null,null
R-HSA-5663258,R-ALL-1368125,R-HSA-5663272,null,null,null
R-HSA-5663258,R-HSA-442464,R-HSA-5663272,null,null,null
R-HSA-5663258,R-HSA-4686147,R-HSA-5663272,null,null,null
R-HSA-5663258,R-HSA-442501,R-HSA-5663272,null,null,null
R-HSA-1368081,R-HSA-5641206,R-HSA-1368141,null,R-HSA-5663295,PositiveGeneExpressionRegulation
R-HSA-5663264,R-HSA-381325,R-HSA-5663244,null,null,null
R-HSA-5663264,R-HSA-5641230,R-HSA-5663244,null,null,null
R-HSA-5663264,R-HSA-400325,R-HSA-5663244,null,null,null
R-HSA-1801587,R-HSA-5641230,R-HSA-400161,null,R-HSA-400154,PositiveGeneExpressionRegulation
R-HSA-1801587,R-HSA-5641230,R-HSA-400161,null,R-HSA-5663244,PositiveGeneExpressionRegulation
R-HSA-5663293,R-HSA-381325,R-HSA-5663295,null,null,null
R-HSA-5663293,R-HSA-400325,R-HSA-5663295,null,null,null
R-HSA-5663293,R-HSA-5641206,R-HSA-5663295,null,null,null
R-HSA-400256,R-HSA-421315,R-HSA-400273,null,null,null
R-HSA-400256,R-HSA-400277,R-HSA-400273,null,null,null
R-HSA-5663120,R-HSA-5641225,R-HSA-5663148,null,null,null
R-HSA-5663120,R-HSA-421315,R-HSA-5663148,null,null,null
R-HSA-1368087,R-HSA-5640173,R-HSA-5663268,null,null,null
R-HSA-1368087,R-HSA-381325,R-HSA-5663268,null,null,null
R-HSA-1368087,R-HSA-442481,R-HSA-5663268,null,null,null
R-HSA-1368087,R-HSA-400325,R-HSA-5663268,null,null,null
R-HSA-1368087,R-HSA-4086031,R-HSA-5663268,null,null,null
R-HSA-549385,R-HSA-421296,R-HSA-400277,null,null,null
