First_Reaction,Second_Reaction
R-HSA-5654167,R-HSA-5654149
R-HSA-5654149,R-HSA-5654165
R-HSA-186773,R-HSA-389083
R-HSA-382053,R-HSA-8865275
R-HSA-186773,R-HSA-389086
R-HSA-382053,R-HSA-8865276
R-HSA-186785,R-HSA-186773
R-HSA-8865276,R-HSA-186773
R-HSA-8865275,R-HSA-186773
R-HSA-382053,R-HSA-382057
R-HSA-1524186,R-HSA-1524182
R-HSA-389083,R-HSA-186819
R-HSA-389086,R-HSA-186819
R-HSA-186786,R-HSA-186819
R-HSA-382056,R-HSA-382052
R-HSA-389083,R-HSA-382055
R-HSA-389086,R-HSA-382055
R-HSA-186786,R-HSA-382055
R-HSA-389083,R-HSA-186826
R-HSA-389086,R-HSA-186826
R-HSA-186786,R-HSA-186826
R-HSA-186819,R-HSA-380780
R-HSA-389083,R-HSA-380782
R-HSA-389086,R-HSA-380782
R-HSA-186786,R-HSA-380782
R-HSA-186786,R-HSA-186798
R-HSA-186765,R-HSA-1524186
R-HSA-389083,R-HSA-382056
R-HSA-389086,R-HSA-382056
R-HSA-186786,R-HSA-382056
R-HSA-389083,R-HSA-186765
R-HSA-389086,R-HSA-186765
R-HSA-186786,R-HSA-186765
R-HSA-389083,R-HSA-382058
R-HSA-389086,R-HSA-382058
R-HSA-186786,R-HSA-382058
R-HSA-186826,R-HSA-186834
R-HSA-186780,R-HSA-186800
R-HSA-389083,R-HSA-186778
R-HSA-389086,R-HSA-186778
R-HSA-186786,R-HSA-186778
R-HSA-389083,R-HSA-186780
R-HSA-389086,R-HSA-186780
R-HSA-186786,R-HSA-186780
R-HSA-382057,R-HSA-382061
R-HSA-389086,R-HSA-8864036
R-HSA-186786,R-HSA-8864036
R-HSA-186785,R-HSA-382054
R-HSA-382053,R-HSA-186785
R-HSA-186773,R-HSA-186786
