PathwayName,Event,RelationType,InputReaction
Autophagy,R-HSA-8959571,Shared entity relation,null
Autophagy,R-HSA-8959573,Shared entity relation,R-HSA-8959571
Autophagy,R-HSA-8948039,Shared entity relation,R-HSA-8948139
Autophagy,R-HSA-8948039,Shared entity relation,R-HSA-8948143
Autophagy,R-HSA-9613666,Shared entity relation,null
Autophagy,R-HSA-9613530,Shared entity relation,R-HSA-9613565
Autophagy,R-HSA-9613352,Shared entity relation,R-HSA-9613513
Autophagy,R-HSA-9613513,Shared entity relation,R-HSA-9613530
Autophagy,R-HSA-9613565,Shared entity relation,R-HSA-9613666
Autophagy,R-HSA-9613565,Shared entity relation,R-HSA-9613513
Autophagy,R-HSA-9639698,Shared entity relation,R-HSA-9640114
Autophagy,R-HSA-9640114,Shared entity relation,R-HSA-9641096
Autophagy,R-HSA-9646354,Shared entity relation,R-HSA-9646348
Autophagy,R-HSA-9646354,Shared entity relation,null
Autophagy,R-HSA-9641111,Shared entity relation,R-HSA-9641127
Autophagy,R-HSA-9646679,Shared entity relation,R-HSA-9646685
Autophagy,R-HSA-9646390,Shared entity relation,R-HSA-9646383
Autophagy,R-HSA-9641109,Shared entity relation,null
Autophagy,R-HSA-9641109,Shared entity relation,R-HSA-9646347
Autophagy,R-HSA-9646685,Shared entity relation,null
Autophagy,R-HSA-9646685,Shared entity relation,R-HSA-9646348
Autophagy,R-HSA-9646685,Shared entity relation,R-HSA-9646390
Autophagy,R-HSA-9641089,Shared entity relation,R-HSA-9641096
Autophagy,R-HSA-9640480,Shared entity relation,R-HSA-9641089
Autophagy,R-HSA-9641127,Shared entity relation,R-HSA-9641109
Autophagy,R-HSA-9646347,Shared entity relation,R-HSA-9646354
Autophagy,R-HSA-9641096,Shared entity relation,R-HSA-9641111
Autophagy,R-HSA-9646383,Shared entity relation,R-HSA-9646679
Autophagy,R-HSA-9646348,Shared entity relation,R-HSA-9646390
Autophagy,R-HSA-9631065,Shared entity relation,null
Autophagy,R-HSA-9631068,Shared entity relation,R-HSA-9631065
Cell Cycle,R-HSA-141409,Shared entity relation,R-HSA-141431
Cell Cycle,R-HSA-141431,Shared entity relation,R-HSA-141422
Cell Cycle,R-HSA-141422,Shared entity relation,R-HSA-141439
Cell Cycle,R-HSA-141439,Shared entity relation,R-HSA-141437
