First_Reaction_Name,First_Reaction_ID,Second_Reaction_Name,Second_Reaction_ID,Second_Reaction_Author,ReactionsInSameDiagram?,Shared_Entity,Shared_Entity_Class,Shared_Entity_Relation_to_Second_Reaction,IsCyclic?,Logic,Value,Is _It_Curated?
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2424254"",""LDLR transports extracellular CR:atREs to cytosol "")",2424254,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2404140"",""NREH hydrolyses atREs to atROL and FAs"")",2404140,"Jassal, B",Yes,CR:atREs [early endosome],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2453855"",""LRAT esterifies RBP1:atROL and FACYLs to atREs"")",2453855,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74843"",""atROL binds RBP1 to form RBP1:atROL"")",74843,"Carleton, KL",Yes,RBP1 [cytosol],EntityWithAccessionedSequence,Input,True,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2453855"",""LRAT esterifies RBP1:atROL and FACYLs to atREs"")",2453855,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2855259"",""atROL binds RBP1 (parenchymal cell)"")",2855259,"Jassal, B",No,RBP1 [cytosol],EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2453855"",""LRAT esterifies RBP1:atROL and FACYLs to atREs"")",2453855,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2404142"",""atROL binds RBP1"")",2404142,"Jassal, B",No,RBP1 [cytosol],EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2453876"",""TTR:RBP:atROL binds to STRA6 receptor"")",2453876,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2453863"",""STRA6 transports atROL from extracellular region to cytosol"")",2453863,"Jassal, B",Yes,TTR:RBP4:atROL:STRA6 [plasma membrane],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2454081"",""RDH5 oxidises 11cROL to 11cRAL"")",2454081,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8960973"",""RLBP1:11cRAL dissociates"")",8960973,"Jassal, B",Yes,RLBP1:11cRAL [cytosol],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2454118"",""11cRAL binds to opsin to form 11c-retinyl:RHO"")",2454118,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74101"",""Photons induce isomerization of 11c-retinyl to at-retinyl"")",74101,"Schmidt, EE",Yes,11c-retinyl-RHO [photoreceptor disc membrane],EntityWithAccessionedSequence,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2454264"",""11cROL binds to RLBP1 to form RLBP1:11cROL"")",2454264,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2465919"",""AWAT2 transfers PALM to 11cROL forming 11cRPALM"")",2465919,"Jassal, B",Yes,RLBP1:11cROL [cytosol],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2454264"",""11cROL binds to RLBP1 to form RLBP1:11cROL"")",2454264,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2454081"",""RDH5 oxidises 11cROL to 11cRAL"")",2454081,"Jassal, B",Yes,RLBP1:11cROL [cytosol],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2454264"",""11cROL binds to RLBP1 to form RLBP1:11cROL"")",2454264,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74872"",""RDH10,11 oxidise 11cROL to 11cRAL"")",74872,"Carleton, KL",Yes,RLBP1:11cROL [cytosol],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2465926"",""An atROL isomerase isomerises atROL to 11cROL"")",2465926,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2465919"",""AWAT2 transfers PALM to 11cROL forming 11cRPALM"")",2465919,"Jassal, B",Yes,RLBP1:11cROL [cytosol],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2465926"",""An atROL isomerase isomerises atROL to 11cROL"")",2465926,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2454081"",""RDH5 oxidises 11cROL to 11cRAL"")",2454081,"Jassal, B",Yes,RLBP1:11cROL [cytosol],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2465926"",""An atROL isomerase isomerises atROL to 11cROL"")",2465926,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74872"",""RDH10,11 oxidise 11cROL to 11cRAL"")",74872,"Carleton, KL",Yes,RLBP1:11cROL [cytosol],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2465971"",""RLBP1 binds atROL to form RLBP1:atROL"")",2465971,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2465926"",""An atROL isomerase isomerises atROL to 11cROL"")",2465926,"Jassal, B",Yes,RLBP1:atROL [cytosol],Complex,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2485180"",""MII catalyses GDP/GTP exchange on Gt"")",2485180,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2485182"",""Gt-GTP dissociates to GNAT1-GTP and GNB1:GNGT1"")",2485182,"Jassal, B",Yes,Gt-GTP [photoreceptor disc membrane],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2485182"",""Gt-GTP dissociates to GNAT1-GTP and GNB1:GNGT1"")",2485182,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74882"",""GNAT1-GDP binds to GNB1:GNGT1"")",74882,"Schmidt, EE",Yes,GNB1:GNGT1 [photoreceptor disc membrane],Complex,Input,False,AND,1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2485182"",""Gt-GTP dissociates to GNAT1-GTP and GNB1:GNGT1"")",2485182,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74065"",""GNAT1-GTP binds PDE6 and activates it"")",74065,"Schmidt, EE",Yes,GNAT1-GTP [photoreceptor disc membrane],Complex,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2514865"",""cGMP dissociates from CNG channels"")",2514865,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3229181"",""CALM1:Ca2+ binds CNG channel"")",3229181,"Jassal, B",Yes,CNG channel [plasma membrane],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2514865"",""cGMP dissociates from CNG channels"")",2514865,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74031"",""cGMP binds CNG channel to form cGMP:CNG channel"")",74031,"Schmidt, EE",Yes,CNG channel [plasma membrane],Complex,Input,True,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2534096"",""METAP1/2 demethylates GNAT1"")",2534096,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2534087"",""NMT1/2 transfer MYS to GNAT1"")",2534087,"Jassal, B",Yes,GNAT1 (Met removed) [cytosol],EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2534096"",""METAP1/2 demethylates GNAT1"")",2534096,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2534040"",""Unknown NAT N-acylates Gly in GNAT1"")",2534040,"Jassal, B",Yes,GNAT1 (Met removed) [cytosol],EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2581474"",""GRK1,4,7 phosphorylate MII to p-MII"")",2581474,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2581488"",""SAG binds p-MII to form p-MII:SAG"")",2581488,"Jassal, B",Yes,"p-S334,338,343-at-retinyl-RHO [photoreceptor disc membrane]",EntityWithAccessionedSequence,Input,True,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2581474"",""GRK1,4,7 phosphorylate MII to p-MII"")",2581474,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2485180"",""MII catalyses GDP/GTP exchange on Gt"")",2485180,"Jassal, B",Yes,"p-S334,338,343-at-retinyl-RHO [photoreceptor disc membrane]",EntityWithAccessionedSequence,Input,False,AND,1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2581488"",""SAG binds p-MII to form p-MII:SAG"")",2581488,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2632521"",""at-retinyl is hydrolysed from p-MII:SAG to release atRAL"")",2632521,"Jassal, B",Yes,p-MII:SAG [photoreceptor disc membrane],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2581488"",""SAG binds p-MII to form p-MII:SAG"")",2581488,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2581474"",""GRK1,4,7 phosphorylate MII to p-MII"")",2581474,"Jassal, B",Yes,p-MII:SAG [photoreceptor disc membrane],Complex,Input,True,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2581488"",""SAG binds p-MII to form p-MII:SAG"")",2581488,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74948"",""PP2A dephosphorylates p-RHO to RHO"")",74948,"Carleton, KL",Yes,p-MII:SAG [photoreceptor disc membrane],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2581488"",""SAG binds p-MII to form p-MII:SAG"")",2581488,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2485180"",""MII catalyses GDP/GTP exchange on Gt"")",2485180,"Jassal, B",Yes,p-MII:SAG [photoreceptor disc membrane],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2584246"",""GNAT1-GTP hydrolyses its bound GTP to GDP"")",2584246,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74882"",""GNAT1-GDP binds to GNB1:GNGT1"")",74882,"Schmidt, EE",Yes,GNAT1-GDP [photoreceptor disc membrane],Complex,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2584246"",""GNAT1-GTP hydrolyses its bound GTP to GDP"")",2584246,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74065"",""GNAT1-GTP binds PDE6 and activates it"")",74065,"Schmidt, EE",Yes,PDE6 [photoreceptor disc membrane],Complex,Input,True,AND,1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2584246"",""GNAT1-GTP hydrolyses its bound GTP to GDP"")",2584246,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74065"",""GNAT1-GTP binds PDE6 and activates it"")",74065,"Schmidt, EE",Yes,GNAT1-GDP [photoreceptor disc membrane],Complex,Input,True,AND,1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2632521"",""at-retinyl is hydrolysed from p-MII:SAG to release atRAL"")",2632521,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74947"",""p-MII:SAG dissociates to p-RHO and SAG"")",74947,"Carleton, KL",Yes,p-RHO:SAG [photoreceptor disc membrane],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2855252"",""AKRs reduce RBP2:atRAL to RBP2:atROL"")",2855252,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-975608"",""LRAT esterifies RBP2:atROL and FACYLs to atREs"")",975608,"Stephan, R",Yes,RBP2:atROL [cytosol],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2855259"",""atROL binds RBP1 (parenchymal cell)"")",2855259,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2404144"",""Parenchymal atROL translocates to HSCs"")",2404144,"Jassal, B",Yes,RBP1:atROL [cytosol],Complex,Input,True,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3229213"",""RCVRN:Ca2+ binds to and inhibits GRK1"")",3229213,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2581474"",""GRK1,4,7 phosphorylate MII to p-MII"")",2581474,"Jassal, B",Yes,S-farn-GRK1:RCVRN:Ca2+ [photoreceptor disc membrane],Complex,Negative Regulator,False,AND,-1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-381749"",""G Protein trimer formation (olfactory)"")",381749,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-381750"",""Olfactory Receptor - G Protein olfactory trimer complex formation"")",381750,"Caudy, M",Yes,GNAL:GNB1:GNG13 [plasma membrane],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74031"",""cGMP binds CNG channel to form cGMP:CNG channel"")",74031,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2514867"",""cGMP:CNG transports Na+ and Ca2+ into the rod outer segment"")",2514867,"Jassal, B",Yes,cGMP:CNG channel [plasma membrane],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74031"",""cGMP binds CNG channel to form cGMP:CNG channel"")",74031,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2514865"",""cGMP dissociates from CNG channels"")",2514865,"Jassal, B",Yes,cGMP:CNG channel [plasma membrane],Complex,Input,True,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74065"",""GNAT1-GTP binds PDE6 and activates it"")",74065,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2584246"",""GNAT1-GTP hydrolyses its bound GTP to GDP"")",2584246,"Jassal, B",Yes,GNAT1-GTP:PDE6 [photoreceptor disc membrane],Complex,Input,True,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74065"",""GNAT1-GTP binds PDE6 and activates it"")",74065,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74059"",""PDE6 hydrolyses cGMP to GMP"")",74059,"Schmidt, EE",Yes,GNAT1-GTP:PDE6 [photoreceptor disc membrane],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74101"",""Photons induce isomerization of 11c-retinyl to at-retinyl"")",74101,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2581474"",""GRK1,4,7 phosphorylate MII to p-MII"")",2581474,"Jassal, B",Yes,at-retinyl-RHO [photoreceptor disc membrane],EntityWithAccessionedSequence,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74101"",""Photons induce isomerization of 11c-retinyl to at-retinyl"")",74101,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2485180"",""MII catalyses GDP/GTP exchange on Gt"")",2485180,"Jassal, B",Yes,at-retinyl-RHO [photoreceptor disc membrane],EntityWithAccessionedSequence,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74448"",""Calcium binds calmodulin"")",74448,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3229181"",""CALM1:Ca2+ binds CNG channel"")",3229181,"Jassal, B",No,CALM1:4xCa2+ [cytosol],Complex,Input,False,AND,1,False
