First_Reaction,Second_Reaction,Shared_Entity,Shared_Entity_Type,Logic,Value
R-HSA-68948,R-HSA-68712,R-HSA-939258,Input,OR,0
R-HSA-68948,R-HSA-68712,R-HSA-939165,Input,OR,0
R-HSA-68948,R-HSA-68712,R-HSA-939164,Input,OR,0
R-HSA-68948,R-HSA-68712,R-HSA-939230,Input,OR,0
R-HSA-68948,R-HSA-68712,R-HSA-939232,Input,OR,0
R-HSA-68948,R-HSA-68712,R-HSA-939203,Input,OR,0
R-HSA-68948,R-HSA-68712,R-HSA-939205,Input,OR,0
R-HSA-68948,R-HSA-68712,R-HSA-939239,Input,OR,0
R-HSA-68948,R-HSA-68712,R-HSA-939213,Input,OR,0
R-HSA-68948,R-HSA-68712,R-HSA-939214,Input,OR,0
R-HSA-69016,R-HSA-69015,R-HSA-939184,Input,OR,0
R-HSA-69016,R-HSA-69015,R-HSA-939188,Input,OR,0
R-HSA-69016,R-HSA-69015,R-HSA-939191,Input,OR,0
R-HSA-69016,R-HSA-69015,R-HSA-939192,Input,OR,0
R-HSA-69016,R-HSA-69015,R-HSA-939258,Input,OR,0
R-HSA-69016,R-HSA-69015,R-HSA-939165,Input,OR,0
R-HSA-69016,R-HSA-69015,R-HSA-939164,Input,OR,0
R-HSA-69016,R-HSA-69015,R-HSA-939230,Input,OR,0
R-HSA-69016,R-HSA-69015,R-HSA-939232,Input,OR,0
R-HSA-69016,R-HSA-69015,R-HSA-939203,Input,OR,0
R-HSA-69016,R-HSA-69015,R-HSA-939205,Input,OR,0
R-HSA-69016,R-HSA-69015,R-HSA-939239,Input,OR,0
R-HSA-69016,R-HSA-69015,R-HSA-939213,Input,OR,0
R-HSA-69016,R-HSA-69015,R-HSA-939214,Input,OR,0
R-HSA-69016,R-HSA-68712,R-HSA-939184,Input,OR,0
R-HSA-69016,R-HSA-68712,R-HSA-939188,Input,OR,0
R-HSA-69016,R-HSA-68712,R-HSA-939191,Input,OR,0
R-HSA-69016,R-HSA-68712,R-HSA-939192,Input,OR,0
R-HSA-69016,R-HSA-68712,R-HSA-939258,Input,OR,0
R-HSA-69016,R-HSA-68712,R-HSA-939165,Input,OR,0
R-HSA-69016,R-HSA-68712,R-HSA-939164,Input,OR,0
R-HSA-69016,R-HSA-68712,R-HSA-939230,Input,OR,0
R-HSA-69016,R-HSA-68712,R-HSA-939232,Input,OR,0
R-HSA-69016,R-HSA-68712,R-HSA-939203,Input,OR,0
R-HSA-69016,R-HSA-68712,R-HSA-939205,Input,OR,0
R-HSA-69016,R-HSA-68712,R-HSA-939239,Input,OR,0
R-HSA-69016,R-HSA-68712,R-HSA-939213,Input,OR,0
R-HSA-69016,R-HSA-68712,R-HSA-939214,Input,OR,0
