First_Reaction,Second_Reaction,Shared_Entity,Shared_Entity_Type,Logic,Value
R-HSA-110371,R-HSA-5651805,R-HSA-5651808,Input,AND,1
R-HSA-110375,R-HSA-110353,R-HSA-50119,Input,OR,0
R-HSA-110375,R-HSA-110352,R-HSA-50119,Input,OR,0
R-HSA-110375,R-HSA-110355,R-HSA-50119,Input,OR,0
R-HSA-110375,R-HSA-110354,R-HSA-50119,Input,OR,0
R-HSA-110375,R-HSA-110356,R-HSA-50119,Input,OR,0
R-HSA-110375,R-HSA-110349,R-HSA-50119,Input,OR,0
R-HSA-110375,R-HSA-110351,R-HSA-50119,Input,OR,0
R-HSA-110375,R-HSA-110350,R-HSA-50119,Input,OR,0
R-HSA-110375,R-HSA-110376,R-HSA-110337,Input,AND,1
R-HSA-110376,R-HSA-73932,R-HSA-110339,Input,OR,0
R-HSA-110380,R-HSA-5649708,R-HSA-53845,Input,OR,0
R-HSA-110380,R-HSA-5649854,R-HSA-53845,Input,OR,0
R-HSA-110380,R-HSA-110360,R-HSA-53845,Input,OR,0
R-HSA-110380,R-HSA-3785704,R-HSA-5649637,Input,AND,1
R-HSA-110380,R-HSA-5687673,R-HSA-110338,Input,OR,0
R-HSA-110380,R-HSA-5649726,R-HSA-110338,Input,OR,0
R-HSA-110380,R-HSA-110376,R-HSA-110338,Input,OR,0
R-HSA-111253,R-HSA-5649873,R-HSA-5649885,Input,OR,0
R-HSA-111253,R-HSA-110364,R-HSA-5649885,Input,OR,0
R-HSA-112118,R-HSA-5657665,R-HSA-5656464,Input,OR,0
R-HSA-112118,R-HSA-5657649,R-HSA-5656464,Input,OR,0
R-HSA-112118,R-HSA-5657641,R-HSA-5656464,Input,OR,0
R-HSA-112118,R-HSA-3785704,R-HSA-5649637,Input,AND,1
R-HSA-112120,R-HSA-5657665,R-HSA-5656464,Input,OR,0
R-HSA-112120,R-HSA-5657649,R-HSA-5656464,Input,OR,0
R-HSA-112120,R-HSA-5657641,R-HSA-5656464,Input,OR,0
R-HSA-112120,R-HSA-3785704,R-HSA-5649637,Input,AND,1
